ECO_NAME,meanAnualTemp,meanMaxTemp,meanMinTemp,meanPrecip,meanTempSeasonality,populationSum
Rock and Ice,2.16,10.68,-5.06,1583.06,1.19,7703.46
Lake,8.89,16.59,-1.13,826.87,8.21,21852.01
Lara Falcon dry forests,24.78,31.07,18.56,979.59,4.79,668693.64
Bolivian montane dry forests,15.75,25.48,3.31,640.28,9.1,2111184.17
Araya and Paria xeric scrub,25.68,30.79,20.1,1149.14,5.41,423031.05
La Costa xeric shrublands,25.56,32.45,18.69,1127.1,7.27,8103935.11
Central Andean wet puna,5.54,14.71,-6.58,774.38,7.74,4289070.39
Central Andean puna,7.11,18.31,-6.66,380.69,10.33,1618318.01
High Monte,14.15,28.28,-0.98,186.4,8.7,295932.41
Magellanic subpolar forests,5.23,13.5,-1.78,1581.28,1.41,205712.78
Southern Andean steppe,2.99,15.18,-8.2,241.58,6.03,117522.59
Cauca Valley montane forests,18.11,23.93,12.58,2238.55,3.51,4897509.5
Magdalena Valley montane forests,19.14,24.82,13.61,2151.95,3.89,20905530.24
Santa Marta montane forests,16.58,22.54,10.03,2404.14,6.25,84156.46
Venezuelan Andes montane forests,20.02,26.06,13.37,1303.12,5.17,2113038.38
Eastern Cordillera real montane forests,18.5,25.03,12.44,1896.32,3.64,3505663.07
Cordillera Oriental montane forests,19.42,25.48,13.44,2180.07,4.72,1740474.38
Northwestern Andean montane forests,18.9,24.78,13.27,2413.2,4.36,6183321.78
Cordillera La Costa montane forests,22.3,28.57,15.78,1329.39,5.42,2821276.08
Peruvian Yungas,14.52,22.92,4.69,1213.38,5.79,4747238.39
Bolivian Yungas,20.75,28.35,11.58,1741.74,5.81,551186.62
Southern Andean Yungas,18.2,29.15,4.7,721.31,8.99,1912334.36
Cauca Valley dry forests,23.74,30.34,17.72,1665.95,3.6,3535848.13
Magdalena Valley dry forests,25.69,32.4,19.99,1635.78,4.56,1845181.43
Tumbes Piura dry forests,22.84,31.12,14.91,264.37,14.59,2098822.73
Maranon dry forests,19.11,26.1,11.7,903.35,4.21,299271.78
Patia Valley dry forests,23.9,30.89,17.72,1801.12,4.36,99859.71
Valdivian temperate forests,8.24,19.8,-0.07,1524.37,5.4,5910694.07
Patagonian steppe,8.57,21.67,-2.35,250.71,3.23,817128.35
Santa Marta paramo,5.07,10.55,-1.57,2226.83,5.18,9599.94
Northern Andean paramo,7.26,12.7,2.06,1334.01,3.59,707846.68
Cordillera Central paramo,9.23,17.21,-0.42,1037.39,5.56,262223.15
Cordillera de Merida paramo,8.02,14.44,0.21,899.31,5.68,72702.76
Central Andean dry puna,6.66,17.95,-7.39,156.11,12.93,841689.4
Chilean matorral,12.78,24.16,3.37,420.31,9.6,10947686.69
Atacama desert,14.72,24.44,4.6,11.67,8.66,893099
